id,Period,Data_value,Series_title_2
61,2004.03,16307.6,Credit
62,2005.03,18481.2,Credit
63,2006.03,20210.6,Credit
64,2007.03,22272.1,Credit
65,2008.03,23982.4,Credit
66,2009.03,24381.1,Credit
67,2010.03,24135.6,Credit
68,2011.03,24851.6,Credit
69,2012.03,26411.2,Credit
70,2013.03,27504.1,Credit
71,2014.03,29840.0,Credit
72,2015.03,31607.8,Credit
73,2016.03,34681.6,Credit
74,2017.03,39191.6,Credit
75,2018.03,46065.7,Credit
76,2019.03,50302.3,Credit
77,2020.03,52670.7,Credit
78,2021.03,55518.7,Credit
79,2022.03,61696.6,Credit
80,2004.03,20571.1,Debit
81,2005.03,22274.9,Debit
82,2006.03,24093.1,Debit
83,2007.03,26344.6,Debit
84,2008.03,28686.8,Debit
85,2009.03,30094.4,Debit
86,2010.03,31841.8,Debit
87,2011.03,33773.3,Debit
88,2012.03,36203.5,Debit
89,2013.03,37792.0,Debit
90,2014.03,39407.1,Debit
91,2015.03,40712.5,Debit
92,2016.03,41807.0,Debit
93,2017.03,42142.5,Debit
94,2018.03,41618.6,Debit
95,2019.03,41143.5,Debit
96,2020.03,41298.0,Debit
97,2021.03,34397.4,Debit
98,2022.03,33128.3,Debit
156,2004.03,981.4,Services
157,2005.03,1129.4,Services
158,2006.03,1269.5,Services
159,2007.03,1412.3,Services
160,2008.03,1563.6,Services
161,2009.03,1671.6,Services
162,2010.03,1762.2,Services
163,2011.03,1846.8,Services
164,2012.03,1975.0,Services
165,2013.03,2096.4,Services
166,2014.03,2358.2,Services
167,2015.03,2591.7,Services
168,2016.03,2796.7,Services
169,2017.03,3023.5,Services
170,2018.03,3304.7,Services
171,2019.03,3525.6,Services
172,2020.03,3630.0,Services
173,2021.03,3465.2,Services
174,2022.03,3554.4,Services
308,2004.03,175164639.0,Credit
309,2005.03,195790533.0,Credit
310,2006.03,210968205.0,Credit
311,2007.03,225913337.0,Credit
312,2008.03,240051535.0,Credit
313,2009.03,245016363.0,Credit
314,2010.03,251415302.0,Credit
315,2011.03,256962888.0,Credit
316,2012.03,271075612.0,Credit
317,2013.03,289001419.0,Credit
318,2014.03,323503974.0,Credit
319,2015.03,363251739.0,Credit
320,2016.03,430282120.0,Credit
321,2017.03,543191000.0,Credit
322,2018.03,693853089.0,Credit
323,2019.03,793562791.0,Credit
324,2020.03,852565339.0,Credit
325,2021.03,967199480.0,Credit
326,2022.03,1055538960.0,Credit
327,2004.03,509814572.0,Debit
328,2005.03,558839222.0,Debit
329,2006.03,610772760.0,Debit
